start_time,end_time,category,selected_image,jitter_var,correct,target,distractor
135.664,137.057,1,1,"[(1.14, 10), (1.12, -5), (0.84, 0), (1.07, 5)]",True,img7,img1
137.638,139.634,2,2,"[(0.87, 0), (1.1, 0), (0.99, -10), (0.84, 5)]",True,img5,img4
140.398,141.723,2,0,"[(1.04, 5), (1.19, 10), (1.11, 5), (0.86, -5)]",True,img8,img10
142.553,143.974,1,1,"[(1.2, 5), (0.91, 0), (0.82, 5), (1.14, 5)]",True,img3,img7
144.862,145.969,1,2,"[(0.96, 5), (0.89, 0), (0.83, 10), (1.17, 10)]",False,img2,img1
147.55,148.566,4,3,"[(1.19, -10), (1.13, 5), (1.03, -5), (0.91, 0)]",True,img2,img9
154.655,156.739,1,0,"[(0.91, -5), (1.19, -10), (0.86, 10), (1.07, -10)]",True,img7,img6
157.684,159.482,5,1,"[(1.08, 5), (1.17, -10), (1.16, 10), (0.82, 5)]",True,img1,img6
160.517,161.582,5,1,"[(0.95, 5), (1.05, 5), (1.12, 10), (0.96, -5)]",True,img9,img2
162.67,165.114,1,1,"[(1.03, 5), (1.15, 5), (0.89, -5), (0.85, -10)]",True,img10,img2
166.099,167.494,4,1,"[(0.98, 5), (0.93, 5), (0.98, 10), (0.89, -10)]",True,img7,img6
168.422,170.788,4,2,"[(1.17, -10), (1.06, 0), (1.15, 0), (1.13, -10)]",True,img3,img6
172.958,173.679,5,1,"[(1.14, 5), (0.88, 10), (0.96, -5), (1.0, 0)]",True,img3,img9
176.628,178.93,1,2,"[(1.07, -10), (0.83, 10), (1.05, 0), (0.92, -5)]",True,img10,img6
179.848,180.678,5,1,"[(1.04, -5), (0.93, 0), (1.09, 0), (0.87, -5)]",True,img7,img1
181.425,182.483,5,3,"[(1.01, 5), (1.2, 5), (0.94, 10), (1.18, 0)]",True,img3,img2
187.941,188.944,5,3,"[(0.87, 5), (1.08, -10), (0.83, -5), (1.01, -5)]",True,img3,img5
189.634,191.369,2,3,"[(0.9, 0), (0.8, -5), (0.87, 5), (1.06, 0)]",True,img1,img4
201.383,201.456,5,3,"[(0.82, 5), (0.9, -10), (1.03, -10), (1.2, 5)]",True,img7,img10
207.033,207.904,1,0,"[(1.13, 5), (1.04, -10), (0.82, 10), (0.93, 10)]",False,img8,img10
210.126,210.166,5,3,"[(0.8, -5), (0.91, 0), (0.92, -5), (1.16, 5)]",False,img10,img3
211.724,214.685,5,2,"[(0.91, 5), (1.16, 10), (1.18, -10), (0.85, 10)]",True,img3,img8
219.965,221.075,1,2,"[(0.84, 0), (0.95, 10), (1.19, 10), (0.91, -5)]",False,img9,img5
222.676,224.797,2,1,"[(0.96, 5), (1.16, 10), (0.86, 10), (0.84, 0)]",True,img8,img9
225.592,226.598,1,1,"[(1.04, -10), (0.97, 10), (0.92, 5), (1.07, -5)]",True,img1,img7
227.188,228.529,2,1,"[(1.05, 0), (0.93, -10), (0.9, -10), (0.86, 0)]",True,img6,img4
229.561,231.324,4,1,"[(1.09, 10), (1.15, -5), (0.87, 5), (0.95, -5)]",True,img8,img1
232.277,233.243,4,2,"[(1.2, -5), (1.02, 5), (1.11, 0), (1.19, 10)]",False,img9,img6
234.812,235.768,2,1,"[(1.01, -10), (1.1, 0), (1.13, 5), (0.86, 10)]",False,img2,img1
237.887,239.586,4,1,"[(1.08, 10), (0.87, 10), (0.82, 0), (0.99, -10)]",False,img4,img7
246.958,247.458,2,2,"[(1.16, -10), (0.96, 10), (1.12, 0), (0.89, 5)]",True,img8,img4
249.692,251.419,4,2,"[(0.99, -10), (0.87, 5), (0.96, 0), (0.89, 0)]",True,img10,img8
252.321,254.309,2,3,"[(0.99, -5), (0.81, 0), (0.92, 0), (0.83, -10)]",False,img2,img8
255.859,257.817,2,2,"[(0.82, -10), (0.89, 10), (1.0, -5), (1.02, 5)]",True,img1,img8
258.469,260.139,4,0,"[(1.16, 0), (0.99, 5), (1.06, -5), (0.82, 0)]",True,img6,img10
265.548,266.629,5,3,"[(1.03, 5), (0.85, -5), (0.86, 5), (1.07, 5)]",True,img2,img1
273.543,274.019,2,0,"[(1.02, 10), (1.11, -5), (0.81, -10), (1.01, 0)]",False,img6,img9
280.695,282.128,1,2,"[(1.04, -5), (1.13, -10), (1.13, -10), (0.84, 0)]",False,img8,img6
283.691,284.599,5,1,"[(0.99, 10), (0.98, 5), (1.12, 0), (0.81, -10)]",True,img3,img6
285.506,286.935,1,3,"[(0.91, -10), (0.82, 0), (0.98, -10), (1.19, -10)]",True,img9,img10
287.877,287.917,2,3,"[(0.88, -5), (0.85, 0), (1.05, -5), (1.18, 0)]",False,img3,img7
289.479,292.218,5,3,"[(1.1, 10), (1.12, 5), (0.83, -5), (0.86, -10)]",True,img5,img2
293.012,295.298,5,2,"[(0.87, 0), (0.82, -5), (1.18, 10), (0.92, 10)]",False,img5,img4
296.869,298.868,4,2,"[(1.11, -10), (1.1, -10), (1.06, -5), (1.0, 5)]",True,img10,img5
302.035,303.436,4,3,"[(1.19, -10), (0.95, 10), (1.08, 0), (0.83, -10)]",False,img3,img4
305.0,307.483,4,3,"[(1.09, 10), (1.19, 10), (1.02, -10), (1.13, 5)]",True,img6,img1
308.075,309.775,4,2,"[(1.2, -10), (0.94, -10), (0.91, 5), (1.13, -5)]",False,img1,img2
311.36,313.542,2,1,"[(1.02, -5), (1.17, 10), (0.92, 10), (0.97, 0)]",True,img3,img10
314.483,315.243,4,1,"[(1.11, 10), (0.92, 5), (1.17, 10), (1.13, -10)]",False,img7,img4
321.385,321.62,4,0,"[(1.05, -5), (1.1, -10), (1.0, -10), (0.91, -5)]",False,img5,img7
323.22,323.299,2,1,"[(0.85, -5), (1.13, 0), (0.87, -5), (0.93, -5)]",False,img9,img8
324.86,326.867,2,2,"[(0.93, -5), (1.13, -5), (1.14, 10), (1.02, -5)]",True,img7,img1
331.893,334.25,1,3,"[(0.81, -10), (1.2, 10), (1.05, 5), (1.02, 0)]",True,img10,img4
334.993,337.596,5,2,"[(1.15, -5), (0.98, 5), (1.07, -10), (0.87, 0)]",True,img8,img4
338.46,339.495,1,2,"[(0.81, -10), (1.0, 0), (0.95, -5), (0.98, -10)]",True,img6,img8
340.608,342.155,4,1,"[(1.04, 0), (0.86, 5), (1.07, 5), (0.99, 0)]",False,img1,img6
344.194,346.068,5,2,"[(1.13, 10), (1.0, 10), (0.91, 0), (0.99, 0)]",False,img1,img2
347.634,348.597,2,2,"[(1.05, -5), (0.97, 5), (0.83, -5), (1.08, 0)]",True,img1,img3
349.364,351.281,2,1,"[(0.98, 5), (0.94, -5), (0.84, -10), (0.8, 0)]",False,img7,img4
353.291,355.104,4,1,"[(1.15, -10), (1.06, 10), (0.81, 5), (1.15, -10)]",True,img7,img5
356.101,357.568,1,2,"[(0.96, -5), (0.94, -10), (1.11, 5), (1.08, 5)]",False,img4,img2
359.701,360.028,4,1,"[(0.82, -10), (1.16, 5), (1.16, -10), (1.17, -5)]",False,img7,img10
361.599,363.461,4,0,"[(0.88, -5), (0.95, -10), (0.97, 5), (1.08, -5)]",True,img8,img4
364.454,366.643,1,3,"[(0.96, -10), (0.84, 10), (1.06, 5), (1.18, -10)]",False,img7,img5
368.221,370.349,1,2,"[(1.03, 10), (0.88, -5), (0.81, -5), (1.19, 10)]",False,img3,img5
371.899,373.917,2,1,"[(1.1, 0), (1.03, -5), (0.81, -5), (1.04, 10)]",True,img8,img7
374.891,375.934,2,2,"[(1.02, 10), (0.94, -5), (1.08, 5), (0.82, 0)]",True,img1,img9
376.495,377.668,5,1,"[(0.92, 5), (1.13, 0), (0.85, -10), (1.06, 0)]",True,img4,img8
378.387,379.26,5,2,"[(1.18, 0), (0.9, 5), (0.88, 0), (0.96, 0)]",True,img7,img6
379.926,381.087,2,0,"[(0.81, 5), (0.82, -10), (1.01, -5), (1.05, -10)]",True,img10,img2
381.777,383.487,2,1,"[(0.95, -10), (1.06, 5), (1.08, 5), (1.04, 0)]",True,img10,img5
384.051,386.214,5,0,"[(0.96, -5), (1.18, -5), (1.0, 10), (1.07, 10)]",True,img2,img8
386.973,389.564,4,0,"[(1.18, -10), (0.81, 10), (1.12, -5), (0.95, 0)]",True,img3,img7
390.443,391.994,2,1,"[(0.98, 10), (0.97, 10), (1.03, -5), (1.05, -10)]",True,img5,img6
392.555,394.095,2,0,"[(0.92, 10), (1.18, 10), (0.94, 5), (1.06, -10)]",True,img2,img6
394.954,396.148,4,1,"[(1.15, -5), (0.89, -5), (1.13, 0), (0.91, -10)]",True,img2,img6
397.143,397.23,4,1,"[(0.86, -5), (1.17, 0), (1.1, 5), (1.18, 0)]",True,img8,img7
397.773,400.748,1,3,"[(1.0, -5), (1.19, 5), (1.09, 10), (1.04, 10)]",False,img3,img2
402.318,404.163,2,3,"[(0.9, 10), (0.91, 0), (1.0, 5), (1.2, 5)]",True,img6,img1
404.722,405.542,5,1,"[(0.81, -10), (1.02, -10), (0.85, 5), (0.8, -5)]",True,img7,img8
406.562,407.755,5,3,"[(1.13, -10), (1.06, 10), (1.0, 0), (1.0, -5)]",True,img4,img9
408.385,410.351,2,1,"[(1.18, -5), (1.02, -10), (1.14, 10), (0.89, -10)]",True,img4,img3
411.359,413.584,4,3,"[(0.84, -10), (0.99, 10), (1.13, 10), (1.02, 5)]",True,img3,img1
414.647,414.912,4,1,"[(0.95, 0), (1.19, 10), (1.19, -10), (0.83, 0)]",False,img9,img8
416.485,418.629,2,2,"[(0.88, 5), (0.91, 0), (1.0, -10), (0.92, 10)]",True,img9,img1
419.206,421.138,4,0,"[(1.17, 0), (0.97, -10), (1.0, 0), (1.01, 10)]",False,img1,img9
423.604,424.782,2,3,"[(1.08, -10), (1.08, -5), (1.1, -10), (0.99, -10)]",True,img10,img8
425.445,427.29,5,3,"[(1.11, 10), (0.9, 5), (0.88, 10), (1.17, -5)]",True,img6,img10
427.902,429.617,5,3,"[(0.93, -10), (0.92, -10), (1.12, -5), (1.03, 10)]",True,img5,img8
430.2,431.668,1,0,"[(0.84, -5), (0.9, 5), (1.14, 5), (0.89, -10)]",True,img1,img10
432.241,433.733,5,1,"[(0.84, -10), (0.87, 5), (0.8, -5), (1.13, 0)]",False,img1,img8
435.282,437.15,5,3,"[(1.09, 10), (0.87, -10), (1.08, -10), (0.89, 5)]",True,img6,img8
437.712,439.237,4,0,"[(0.9, -10), (0.97, 0), (0.93, 0), (0.84, 0)]",True,img8,img9
439.79,442.435,2,0,"[(0.96, 5), (1.13, 10), (1.05, -5), (1.17, 10)]",True,img3,img5
443.376,446.065,1,3,"[(0.93, 5), (1.01, 5), (0.88, 5), (1.09, 0)]",True,img5,img1
447.181,449.678,4,3,"[(1.03, 5), (1.08, 10), (1.11, -5), (1.19, 10)]",True,img9,img7
452.431,453.926,4,3,"[(1.13, 10), (1.16, -10), (0.94, 0), (0.81, -5)]",True,img5,img2
454.506,456.13,2,3,"[(1.08, 0), (1.0, -10), (1.15, 10), (0.91, 5)]",True,img10,img3
461.265,463.267,4,0,"[(1.01, 10), (1.05, 10), (0.92, 0), (1.02, -10)]",True,img2,img1
464.65,465.635,5,1,"[(1.12, 10), (0.82, -5), (1.07, -5), (1.11, 10)]",True,img7,img2
466.676,467.468,1,1,"[(0.98, 0), (1.13, -10), (1.13, 5), (0.96, 0)]",True,img4,img6
469.103,471.497,1,3,"[(0.85, 0), (0.94, 10), (0.91, -5), (0.97, -5)]",True,img5,img7
472.148,472.174,5,3,"[(0.8, 0), (0.99, 5), (1.13, -10), (1.19, 0)]",True,img4,img6
475.168,477.659,4,2,"[(0.84, 5), (0.86, 10), (1.0, 5), (0.82, -10)]",True,img5,img9
478.413,479.975,1,3,"[(1.05, -5), (1.19, 5), (1.13, 10), (1.12, 0)]",False,img7,img10
481.544,483.053,1,2,"[(0.99, 0), (1.19, 10), (1.04, 0), (1.17, -5)]",True,img4,img5
483.606,484.964,4,0,"[(1.19, 0), (0.83, -5), (0.95, -5), (1.2, -5)]",True,img9,img2
485.932,487.683,5,0,"[(0.99, -5), (1.12, 5), (1.09, -10), (1.09, -5)]",True,img10,img7
494.593,495.758,5,2,"[(1.2, 10), (0.92, -5), (0.91, -5), (0.89, 5)]",True,img7,img9
496.362,498.112,1,1,"[(1.05, -5), (0.81, 5), (0.83, 10), (1.07, 5)]",True,img9,img2
499.019,500.698,4,3,"[(0.95, 0), (0.86, 5), (1.0, -5), (0.92, 10)]",True,img8,img3
501.289,501.752,2,1,"[(0.99, 10), (1.18, 0), (1.15, -5), (0.87, 5)]",False,img1,img2
503.323,504.703,1,1,"[(0.91, -5), (1.08, 10), (1.09, 0), (0.99, 5)]",True,img8,img5
505.603,506.649,5,3,"[(0.96, 0), (0.88, -10), (1.08, -10), (1.0, 10)]",False,img5,img7
509.471,510.492,1,3,"[(1.09, 5), (1.11, 5), (1.0, 10), (0.86, 5)]",True,img9,img1
511.159,512.725,4,2,"[(0.82, -10), (1.02, 10), (1.1, 10), (0.84, -10)]",True,img4,img9
514.176,515.981,5,0,"[(1.07, 10), (0.92, 10), (1.08, 0), (1.13, 0)]",True,img2,img7
516.993,518.595,5,1,"[(1.16, 5), (1.11, 0), (1.02, -5), (0.8, 10)]",True,img4,img7
519.572,520.768,2,1,"[(1.08, 0), (0.83, 0), (0.84, -10), (0.99, -5)]",True,img1,img10
521.866,523.186,2,0,"[(0.86, 0), (1.02, 5), (1.02, -10), (1.16, -5)]",False,img4,img6
524.758,526.072,5,1,"[(1.12, 5), (0.87, 5), (0.94, -10), (0.84, -10)]",True,img1,img7
527.073,528.303,4,0,"[(0.95, -5), (1.03, -10), (1.19, -10), (0.9, 10)]",True,img4,img3
529.096,530.432,4,1,"[(0.8, -10), (0.97, 0), (1.15, -5), (1.07, 0)]",False,img9,img4
531.997,534.558,4,3,"[(0.85, 0), (1.12, 10), (1.05, 0), (1.12, 5)]",False,img3,img9
536.132,537.166,4,0,"[(1.15, 0), (0.91, -5), (1.15, 0), (0.82, 10)]",True,img3,img2
538.137,539.034,5,2,"[(0.96, -10), (0.95, -10), (0.87, -10), (1.09, 10)]",True,img8,img1
539.583,540.857,5,2,"[(1.06, -10), (0.82, 0), (0.94, -5), (1.06, -5)]",True,img10,img4
545.642,545.672,4,2,"[(1.11, 0), (1.05, 10), (1.16, 0), (1.05, 5)]",False,img7,img1
547.246,549.039,1,0,"[(1.01, 5), (1.1, 0), (0.86, -5), (1.2, 10)]",False,img10,img9
550.592,552.072,5,1,"[(0.89, 5), (0.98, 5), (1.1, 5), (0.93, 5)]",True,img1,img4
553.049,554.127,2,0,"[(1.06, -10), (1.02, -5), (1.14, -10), (1.11, 0)]",True,img5,img3
557.019,558.457,2,1,"[(1.07, -10), (1.03, 5), (0.93, 5), (1.02, -5)]",True,img3,img2
559.42,561.557,1,3,"[(1.14, 10), (0.94, 0), (1.03, -5), (0.91, -5)]",False,img6,img2
563.118,564.041,5,3,"[(1.14, 5), (1.11, -5), (0.88, -5), (1.12, -10)]",True,img9,img10
565.101,566.965,1,3,"[(0.94, -10), (1.13, 10), (1.18, -10), (0.94, -5)]",True,img1,img3
568.06,570.302,2,0,"[(0.97, 5), (0.88, -10), (1.08, 0), (1.08, -10)]",False,img5,img7
575.258,576.413,2,0,"[(1.14, -5), (0.99, -5), (0.9, 10), (1.01, -5)]",True,img1,img7
577.427,579.265,1,2,"[(0.92, -10), (1.12, 5), (0.9, -5), (0.92, -5)]",False,img3,img8
580.827,582.09,1,2,"[(1.03, 0), (0.97, -10), (0.9, 5), (1.04, 5)]",True,img6,img5
583.096,585.525,1,1,"[(1.08, -10), (1.0, -5), (1.18, 10), (0.88, -5)]",True,img3,img6
586.604,589.256,4,3,"[(0.95, 5), (0.83, 0), (1.12, -10), (0.88, 0)]",False,img6,img3
591.25,592.519,2,0,"[(1.06, -10), (1.15, 0), (0.92, 10), (1.05, -5)]",True,img2,img9
593.484,594.777,4,3,"[(0.84, 10), (1.14, -5), (0.87, -10), (0.93, 10)]",True,img2,img7
595.334,597.786,4,2,"[(0.82, -5), (0.9, -10), (1.17, -5), (1.06, -10)]",True,img5,img1
603.152,604.943,1,3,"[(0.98, -5), (0.94, 5), (0.94, -10), (0.85, -5)]",True,img4,img1
605.628,606.84,4,3,"[(0.83, 5), (1.13, 5), (1.14, 5), (0.89, -5)]",True,img7,img8
609.911,611.029,5,1,"[(1.2, -10), (0.86, 5), (0.89, 5), (0.81, 5)]",True,img2,img6
611.735,613.573,1,3,"[(0.99, -10), (0.96, -5), (0.8, 0), (1.17, -10)]",False,img5,img10
615.676,617.039,4,1,"[(1.19, 5), (0.92, 10), (1.09, -5), (1.1, -5)]",True,img4,img10
617.776,619.667,4,3,"[(1.14, -10), (1.19, 5), (0.88, -5), (0.84, 0)]",False,img5,img4
621.23,623.25,4,3,"[(0.82, 5), (1.1, -10), (0.87, -5), (1.19, -10)]",False,img4,img1
625.291,626.414,4,3,"[(1.18, 0), (1.06, -10), (1.1, 10), (0.85, 0)]",True,img8,img10
627.594,629.809,5,3,"[(1.06, -5), (0.99, -10), (0.97, -10), (1.05, -5)]",True,img1,img9
630.611,632.669,1,1,"[(1.2, 5), (1.06, -10), (0.82, 0), (0.98, -10)]",False,img10,img8
639.791,640.666,4,2,"[(0.85, 10), (1.02, -10), (1.1, 5), (1.08, 10)]",True,img10,img6
644.001,645.432,4,1,"[(1.05, 10), (0.89, -10), (0.88, -5), (1.12, 0)]",False,img10,img3
646.994,649.043,4,2,"[(1.05, 5), (1.04, 0), (0.92, -10), (1.01, -5)]",True,img3,img10
649.632,651.092,1,2,"[(0.93, 5), (1.01, -5), (1.08, -10), (1.18, 10)]",True,img4,img9
651.786,653.635,1,0,"[(1.15, -10), (1.12, 0), (1.03, 10), (0.84, -5)]",True,img3,img1
654.969,656.337,5,2,"[(1.19, 10), (0.93, 5), (0.89, 10), (1.02, 5)]",True,img2,img4
656.908,659.403,4,1,"[(1.13, -5), (0.94, 5), (1.12, -5), (0.82, 0)]",True,img7,img9
660.428,661.739,1,1,"[(1.05, -10), (1.01, -5), (0.85, -5), (0.97, 10)]",True,img9,img6
662.626,664.367,5,2,"[(0.85, -10), (1.0, 5), (1.03, -5), (1.12, 10)]",True,img4,img5
664.939,667.059,5,1,"[(1.18, 5), (1.04, -10), (1.12, 0), (0.84, 0)]",False,img5,img10
668.649,670.252,1,0,"[(0.85, -5), (0.81, -10), (0.97, -5), (0.84, 10)]",True,img5,img8
671.189,673.037,4,3,"[(0.9, -10), (0.94, 5), (1.11, 10), (0.93, 10)]",True,img6,img7
673.729,674.974,2,1,"[(0.94, 5), (1.06, 5), (1.16, 0), (0.88, -5)]",True,img5,img10
675.861,678.699,1,3,"[(0.91, 0), (1.09, -10), (1.02, -5), (1.05, 5)]",False,img5,img2
684.058,686.281,2,3,"[(0.9, -10), (0.99, -10), (1.1, -10), (1.06, 10)]",True,img4,img1
687.199,688.825,1,1,"[(0.83, 5), (0.93, -5), (1.1, -10), (0.91, 10)]",True,img4,img3
690.023,691.849,5,0,"[(1.17, 5), (0.94, 10), (1.14, 10), (0.81, -5)]",True,img10,img6
692.938,695.052,2,0,"[(1.15, 0), (0.99, 0), (1.0, 10), (1.13, 5)]",True,img9,img10
699.403,700.897,5,2,"[(0.82, 10), (1.11, -10), (0.84, -10), (0.85, -5)]",True,img9,img8
701.464,703.882,1,3,"[(1.03, 10), (1.07, 5), (1.13, -5), (1.0, -10)]",True,img10,img3
704.561,705.976,5,3,"[(0.91, -10), (0.95, -10), (1.04, 10), (0.87, 0)]",True,img9,img7
706.919,707.844,2,0,"[(0.93, -10), (0.94, 0), (0.99, 0), (0.89, -5)]",False,img6,img5
710.255,711.828,2,2,"[(0.98, 0), (0.87, 10), (0.85, 0), (1.04, 10)]",True,img7,img8
713.87,715.76,4,0,"[(1.16, 5), (0.88, 0), (1.14, 5), (1.13, 10)]",True,img9,img1
722.581,723.291,1,3,"[(1.12, 0), (0.88, 0), (0.86, 10), (1.17, 0)]",False,img4,img8
725.964,727.814,2,3,"[(0.97, -5), (0.89, 5), (0.95, -10), (0.92, 5)]",False,img4,img10
1043.4,1045.134,4,3,"[(1.09, -10), (1.17, -5), (1.13, -5), (1.01, 0)]",True,img6,img9
1046.108,1047.723,1,0,"[(1.12, 5), (1.08, 10), (1.18, -10), (0.88, -5)]",True,img2,img7
1048.281,1049.867,1,3,"[(1.05, -10), (0.92, 10), (0.99, 0), (1.09, 0)]",True,img2,img8
1050.737,1052.094,2,0,"[(0.93, 0), (1.11, 0), (1.17, 5), (1.13, -10)]",True,img9,img3
1053.115,1054.122,5,1,"[(0.97, 10), (1.03, 0), (0.87, -5), (0.85, 5)]",True,img2,img5
1054.714,1056.26,5,3,"[(0.94, 10), (0.87, -5), (1.0, 5), (1.2, -5)]",True,img4,img3
1060.771,1062.548,2,3,"[(1.1, 0), (0.85, 5), (0.94, 10), (0.98, -10)]",True,img6,img10
1063.588,1065.464,4,2,"[(0.96, -10), (1.08, -5), (1.18, -5), (1.01, 5)]",True,img2,img3
1066.539,1068.364,2,0,"[(1.04, -5), (1.02, 0), (0.9, -5), (0.91, 5)]",True,img8,img3
1069.259,1069.304,5,3,"[(1.11, -10), (0.98, 0), (1.02, 5), (1.2, 5)]",True,img4,img10
1069.853,1072.62,5,1,"[(0.84, -5), (0.93, 10), (0.91, -10), (0.82, 5)]",True,img6,img9
1073.521,1075.746,2,1,"[(1.08, 0), (0.81, -5), (0.9, 10), (0.84, 10)]",True,img1,img5
1076.482,1077.345,5,1,"[(0.82, 0), (1.08, -10), (1.17, -10), (0.82, 10)]",True,img7,img3
1078.253,1079.67,2,0,"[(0.84, 10), (0.99, -5), (1.18, -10), (1.2, -5)]",True,img10,img1
1080.227,1081.811,1,3,"[(1.14, -5), (1.1, 10), (0.85, -10), (0.82, 10)]",True,img1,img9
1082.365,1084.229,5,3,"[(1.04, 10), (1.08, 0), (1.19, 10), (1.04, 10)]",True,img8,img9
1084.831,1086.886,2,2,"[(1.15, 0), (1.07, 5), (1.19, 10), (1.01, -5)]",True,img3,img8
1087.47,1089.363,2,0,"[(0.95, -5), (1.1, 10), (1.17, 5), (1.03, 5)]",False,img9,img5
1091.007,1092.619,2,1,"[(1.06, 10), (0.9, 5), (0.96, -5), (1.19, 10)]",False,img4,img2
1094.185,1096.855,2,2,"[(1.14, 0), (1.12, 5), (1.19, 10), (1.09, -5)]",False,img6,img2
1098.405,1099.653,2,0,"[(0.88, 0), (1.03, -5), (0.87, 5), (0.81, 0)]",True,img2,img7
1100.63,1102.706,2,1,"[(1.19, 5), (1.14, 10), (1.04, 5), (0.82, 10)]",True,img10,img6
1103.616,1104.568,5,3,"[(1.12, 0), (0.88, 5), (0.98, -5), (1.03, 5)]",True,img8,img3
1105.467,1107.202,1,3,"[(1.19, 10), (0.88, -5), (0.98, 10), (1.08, 0)]",False,img6,img1
1108.802,1108.827,1,3,"[(0.88, -5), (1.02, -10), (1.15, -10), (1.17, 0)]",False,img7,img4
1110.387,1111.47,5,0,"[(1.1, -10), (1.02, 0), (1.13, -10), (1.19, 10)]",True,img7,img4
1119.647,1121.454,2,1,"[(1.03, 5), (1.05, 0), (1.13, 5), (1.08, -5)]",False,img9,img4
1125.395,1125.417,2,2,"[(1.18, 5), (1.19, -10), (0.9, 0), (0.86, -5)]",False,img7,img3
1129.953,1131.486,4,0,"[(1.12, 0), (0.89, 10), (0.86, -10), (0.91, -10)]",True,img1,img4
1135.471,1138.176,5,0,"[(1.11, -10), (1.03, -5), (1.01, 5), (1.17, 10)]",False,img5,img1
1139.745,1141.063,1,3,"[(0.86, 10), (0.92, 0), (1.16, 5), (0.83, 0)]",True,img6,img3
1141.866,1143.058,5,1,"[(0.83, 0), (0.93, 5), (1.0, 0), (1.17, 10)]",True,img8,img6
1143.969,1146.118,5,3,"[(0.81, 0), (1.14, -10), (1.16, -10), (1.03, -10)]",True,img6,img7
1146.763,1148.141,2,1,"[(1.04, 5), (0.96, -10), (1.12, 5), (1.01, -5)]",True,img6,img7
1148.865,1150.19,4,1,"[(1.13, 10), (1.16, 10), (1.04, -5), (0.91, -5)]",False,img8,img2
1152.174,1154.079,1,2,"[(1.12, 5), (0.88, 5), (0.83, 5), (0.99, -10)]",True,img9,img7
1154.834,1156.191,4,2,"[(1.09, 10), (0.99, 5), (0.91, 10), (1.08, 0)]",True,img4,img2
